Atlanta Hawks,27.2,35,-3.56,-3.87,102.3,106.1,-3.8,91.0,.527
Boston Celtics*,26.9,44,-0.39,-0.75,101.2,101.6,-0.4,90.9,.514
Chicago Bulls,25.2,30,-5.13,-5.31,100.2,105.6,-5.4,93.5,.512
Cleveland Cavaliers,23.5,17,-9.62,-9.59,96.5,106.7,-10.2,94.0,.491
Dallas Mavericks*,28.1,60,7.78,7.90,110.7,102.3,+8.4,92.5,.543
Denver Nuggets,24.1,17,-8.28,-7.41,92.2,101.3,-9.1,91.0,.469
Detroit Pistons*,29.0,50,3.68,2.97,104.1,99.9,+4.2,86.8,.523
Golden State Warriors,24.4,38,-1.13,-0.60,108.3,109.5,-1.2,94.2,.526
Houston Rockets,25.9,43,1.48,1.89,104.3,102.6,+1.7,88.8,.522
Indiana Pacers*,25.9,48,3.49,2.79,104.6,100.8,+3.8,91.6,.522
Los Angeles Clippers,25.3,27,-4.12,-3.45,102.3,106.8,-4.5,91.3,.516
Los Angeles Lakers*,28.1,50,2.33,2.71,107.2,104.7,+2.5,92.5,.528
Memphis Grizzlies,24.9,28,-3.23,-2.60,103.9,107.3,-3.4,92.7,.526
Miami Heat,26.5,25,-5.05,-5.13,96.7,102.4,-5.7,87.8,.483
Milwaukee Bucks*,29.3,42,0.23,-0.24,108.8,108.6,+0.2,90.4,.543
Minnesota Timberwolves*,28.2,51,2.07,2.46,106.1,103.8,+2.3,91.9,.528
New Jersey Nets*,27.3,49,5.22,4.42,103.8,98.1,+5.7,91.6,.518
New Orleans Hornets*,29.1,47,2.11,1.52,103.9,101.6,+2.3,89.4,.511
New York Knicks,30.2,37,-1.35,-1.61,104.7,106.2,-1.5,90.7,.528
Orlando Magic*,26.9,42,0.13,-0.39,105.2,105.0,+0.2,93.1,.526
Philadelphia 76ers*,28.3,48,2.30,1.76,105.0,102.5,+2.5,91.4,.520
Phoenix Suns*,25.2,44,1.13,1.57,103.7,102.5,+1.2,91.5,.514
Portland Trail Blazers*,29.2,50,2.61,2.97,105.5,102.6,+2.9,89.4,.531
Sacramento Kings*,28.3,59,6.50,6.68,105.9,99.1,+6.8,95.4,.535
San Antonio Spurs*,28.4,60,5.41,5.65,105.6,99.7,+5.9,90.0,.541
Seattle SuperSonics,26.9,40,-0.12,0.37,103.7,103.9,-0.2,88.0,.512
Toronto Raptors,27.6,24,-5.87,-6.10,100.5,107.0,-6.5,89.9,.497
Utah Jazz*,30.9,47,2.39,2.76,105.5,102.8,+2.7,89.3,.537
Washington Wizards,28.4,37,-1.01,-1.47,103.0,104.1,-1.1,88.2,.513
