Team,Season,Standing,Age_Rank,ORTG_Rank,DRTG_Rank,NRTG_Rank,MOV_Rank,SRS_Rank,Championship
Atlanta Hawks,1999,7,6,19,2,7,8,8,0
Boston Celtics,1999,22,29,20,13,20,21,21,0
Charlotte Hornets,1999,16,10,14,13,16,16,15,0
Chicago Bulls,1999,27,13,29,16,29,29,27,0
Cleveland Cavaliers,1999,20,21,24,12,20,20,18,0
Dallas Mavericks,1999,22,22,14,25,23,23,23,0
Denver Nuggets,1999,26,28,12,29,26,26,26,0
Detroit Pistons,1999,10,16,10,9,6,6,5,0
Golden State Warriors,1999,21,15,27,10,24,24,24,0
Houston Rockets,1999,7,6,5,15,10,10,14,0
Indiana Pacers,1999,4,2,1,24,5,5,6,0
Los Angeles Clippers,1999,28,26,22,28,28,28,28,0
Los Angeles Lakers,1999,7,17,2,23,8,7,9,0
Miami Heat,1999,4,3,9,8,4,4,4,0
Milwaukee Bucks,1999,11,14,7,16,13,13,12,0
Minnesota Timberwolves,1999,17,20,17,11,15,15,16,0
New Jersey Nets,1999,25,24,25,20,25,25,25,0
New York Knicks,1999,13,10,26,4,14,14,13,0
Orlando Magic,1999,4,12,21,3,9,9,7,0
Philadelphia 76ers,1999,11,24,23,5,12,12,10,0
Phoenix Suns,1999,13,8,3,19,10,11,11,0
Portland Trail Blazers,1999,3,18,8,6,3,3,2,0
Sacramento Kings,1999,13,22,13,18,17,17,17,0
San Antonio Spurs,1999,1,5,11,1,1,1,1,1
Seattle SuperSonics,1999,17,1,6,26,18,18,20,0
Toronto Raptors,1999,19,19,16,22,19,19,19,0
Utah Jazz,1999,1,3,3,7,2,2,3,0
Vancouver Grizzlies,1999,29,26,27,27,27,27,28,0
Washington Wizards,1999,24,8,18,21,22,22,21,0
Atlanta Hawks,2001,25,25,27,18,25,25,26,0
Boston Celtics,2001,20,27,17,15,20,20,22,0
Charlotte Hornets,2001,14,9,16,6,13,14,15,0
Chicago Bulls,2001,29,29,29,27,29,29,29,0
Cleveland Cavaliers,2001,23,20,22,22,23,23,23,0
Dallas Mavericks,2001,5,22,4,13,6,4,4,0
Denver Nuggets,2001,19,12,12,26,21,21,19,0
Detroit Pistons,2001,21,17,24,8,19,19,20,0
Golden State Warriors,2001,28,22,28,28,28,28,28,0
Houston Rockets,2001,15,21,5,17,11,10,9,0
